industry,event,alpha,beta,r_squared,p_value,std_err,adj_r_squared
Agriculture_and_Food,Brexit_Referendum_Day,0.0003958706715803069,0.7529270391135354,0.11401036932447428,0.0,0.014226750810353196,0.1139696641131045
Agriculture_and_Food,Covid_19_Pandemic_Lockdown_in_CN,0.00037614655165488264,0.7390532910231099,0.13168297146538166,0.0,0.016553366478015318,0.13161690960989358
Agriculture_and_Food,Donald_Trump_Reelection,0.00044746094070416057,0.9069744322339771,0.1411572571750228,1.5407162333550776e-37,0.06813823560259433,0.14036055704253203
Agriculture_and_Food,Global_Financial_Crisis,0.0003417895186131853,0.7272315304558901,0.1205776296646407,0.0,0.00995882142657545,0.12055501775549915
Agriculture_and_Food,Start_of_Russia's_Annexation_of_Ukraine,0.00025635323494981656,0.8181658682415944,0.11770299957651109,6.617345297149199e-216,0.025274460802031933,0.11759067659746292
Automotive,Brexit_Referendum_Day,-8.074827869811768e-05,1.0944333663072516,0.1558531209269054,0.0,0.024929360283837132,0.15577225620048796
Automotive,Covid_19_Pandemic_Lockdown_in_CN,7.736367371435408e-05,1.1031441489653306,0.15774323990213512,3.577956398410273e-247,0.031453035722691036,0.1576150034892091
Automotive,Donald_Trump_Reelection,-0.0010540274681971992,1.1859836750711539,0.1462527547421485,2.99782472470904e-20,0.12353789682977363,0.14466586395170644
Automotive,Global_Financial_Crisis,8.824520950130616e-05,1.1269308944853154,0.1921954515886839,0.0,0.017949689617998442,0.19214669173183518
Automotive,Start_of_Russia's_Annexation_of_Ukraine,-0.00013153255391310442,1.3109601720654593,0.1882978902790281,5.607668950823859e-180,0.04345662095244357,0.18809098176265782
Defense_and_Aerospace,Brexit_Referendum_Day,0.0004995933307737717,1.0347757161089859,0.16015021543044738,0.0,0.01900587676794829,0.16009618842597195
Defense_and_Aerospace,Covid_19_Pandemic_Lockdown_in_CN,0.0005336148932818668,1.094933137910627,0.1809348854779973,0.0,0.024284040489510522,0.18084588568287363
Defense_and_Aerospace,Donald_Trump_Reelection,0.0001444831422856256,1.2191012587997103,0.17289513427073966,5.778963511810118e-33,0.0971053167008937,0.17179817821539578
Defense_and_Aerospace,Global_Financial_Crisis,0.0005922476150568848,0.9355010189764723,0.15819740934947324,0.0,0.012608626629934118,0.1581686720200549
Defense_and_Aerospace,Start_of_Russia's_Annexation_of_Ukraine,0.0008459668132660844,0.905507664585586,0.11073624594871778,2.2033722837388077e-142,0.03460040507814274,0.11057456162979928
Energy_and_Utilities,Brexit_Referendum_Day,0.0003020817369161389,0.9391715211756764,0.2218670141527297,0.0,0.01231824384677785,0.22182884605610698
Energy_and_Utilities,Covid_19_Pandemic_Lockdown_in_CN,0.0004086727123726868,0.9798027824872199,0.23509787044121133,0.0,0.01564926877298881,0.23503789693254273
Energy_and_Utilities,Donald_Trump_Reelection,-0.00017060912578066567,1.035990312412901,0.1764878274706857,2.0251556546463008e-47,0.0681591156391517,0.17572390152214268
Energy_and_Utilities,Global_Financial_Crisis,0.0002717996123890887,0.8131177570375743,0.2540979458935879,0.0,0.007332400597123255,0.25407728321445255
Energy_and_Utilities,Start_of_Russia's_Annexation_of_Ukraine,0.00040264759303803395,0.8328077583714921,0.14264237811659597,1.091281044757787e-264,0.023044466335483335,0.14253316058514576
Finance_and_Insurance,Brexit_Referendum_Day,0.00019920963371317845,1.301174546029823,0.40931002683228224,0.0,0.010489953357970852,0.40928342396914186
Finance_and_Insurance,Covid_19_Pandemic_Lockdown_in_CN,0.00025845578212342065,1.3347203516468578,0.447721970388423,0.0,0.01293007927414666,0.4476799528876917
Finance_and_Insurance,Donald_Trump_Reelection,0.0007184183178170819,1.2070265424488071,0.2646716164106405,5.087483638043103e-74,0.06127656614455811,0.2639894936058266
Finance_and_Insurance,Global_Financial_Crisis,0.00024744264310313006,1.3738392724175588,0.3729526362244633,0.0,0.008748405371576526,0.37293751316622403
Finance_and_Insurance,Start_of_Russia's_Annexation_of_Ukraine,0.00017981877540317233,1.3907561764512877,0.38219722285029445,0.0,0.019952012741408252,0.38211856194156646
Healthcare_and_Pharmaceuticals,Brexit_Referendum_Day,0.0002680337572013321,0.7609289456928303,0.08934324396442028,0.0,0.017258558698252817,0.08929728369612333
Healthcare_and_Pharmaceuticals,Covid_19_Pandemic_Lockdown_in_CN,0.0002774313897500292,0.7195680775420319,0.11588241998239446,0.0,0.018273668877509287,0.11580768476852998
Healthcare_and_Pharmaceuticals,Donald_Trump_Reelection,3.57958375697748e-05,0.956260381121144,0.06916322855171597,7.697481667051133e-17,0.11263916758057596,0.06820360301414041
Healthcare_and_Pharmaceuticals,Global_Financial_Crisis,0.0004330689988637942,0.7188431415942429,0.08897349065900118,0.0,0.012798764996436932,0.08894528550391312
Healthcare_and_Pharmaceuticals,Start_of_Russia's_Annexation_of_Ukraine,-9.53727322825455e-05,0.8316242435804038,0.11257511481190274,1.324929158989442e-185,0.027771078933794477,0.11244957726979088
Manufacturing_and_Industrial_Goods,Brexit_Referendum_Day,0.0003635972335010188,1.145953364141345,0.2970718510072745,0.0,0.011831361844220137,0.29704018472432137
Manufacturing_and_Industrial_Goods,Covid_19_Pandemic_Lockdown_in_CN,0.0003899438154485886,1.1114980120913964,0.325367697388698,0.0,0.013963375293065362,0.3253163476929596
Manufacturing_and_Industrial_Goods,Donald_Trump_Reelection,0.000533102745778877,1.3044167106790008,0.20788425418158618,1.486553579490402e-56,0.07755155292644174,0.20714945293314602
Manufacturing_and_Industrial_Goods,Global_Financial_Crisis,0.0005505228597583777,1.0887298770171463,0.2677000169235073,0.0,0.009007986237369224,0.2676816910981049
Manufacturing_and_Industrial_Goods,Start_of_Russia's_Annexation_of_Ukraine,0.00032068980599544246,1.1508808115624478,0.26339919391838607,0.0,0.021723613071061517,0.2633053474658339
Real_Estate_and_Construction,Brexit_Referendum_Day,0.00014804754742181694,1.0745196029871726,0.26537800928806,0.0,0.012647515764851335,0.26534124326079844
Real_Estate_and_Construction,Covid_19_Pandemic_Lockdown_in_CN,7.966383918216629e-05,1.099544720753145,0.2991620059269837,0.0,0.015475019323024522,0.2991027484657448
Real_Estate_and_Construction,Donald_Trump_Reelection,-0.0011557284547006877,1.1130286066208097,0.12034448018846033,7.188677344792173e-29,0.09661925574986843,0.11943761882782988
Real_Estate_and_Construction,Global_Financial_Crisis,0.0004222891894409518,0.999457537900197,0.23458920708944153,0.0,0.009303251590120432,0.23456888123255148
Real_Estate_and_Construction,Start_of_Russia's_Annexation_of_Ukraine,-0.0002218651769050625,1.1893011820253363,0.25698068193666734,0.0,0.024054337166945036,0.25687555752833924
Retail_and_Consumer_Goods,Brexit_Referendum_Day,0.000293483982213202,0.8593615212058588,0.14621478520508824,0.0,0.013936026517719696,0.146176333339893
Retail_and_Consumer_Goods,Covid_19_Pandemic_Lockdown_in_CN,0.00023517260901411227,0.8503941511272474,0.15637585993740377,0.0,0.01722844707310719,0.156311676725287
Retail_and_Consumer_Goods,Donald_Trump_Reelection,0.00038632987802324247,1.139180505982864,0.10483247298297793,9.388320128026573e-28,0.1014352577718637,0.10400130536272079
Retail_and_Consumer_Goods,Global_Financial_Crisis,0.00044304260638267047,0.8009924439555293,0.1696740626634411,0.0,0.008886093562071613,0.16965318026473541
Retail_and_Consumer_Goods,Start_of_Russia's_Annexation_of_Ukraine,-0.0001264992008175562,0.9894378386200613,0.12857228076686267,4.551058724546545e-237,0.0290641369550186,0.12846134152825883
Technology_and_Telecommunications,Brexit_Referendum_Day,0.00044097313902316526,0.8406991135562364,0.2182740157194203,0.0,0.012763074694082142,0.21822370836474614
Technology_and_Telecommunications,Covid_19_Pandemic_Lockdown_in_CN,0.0003958627447640392,0.8232629408453851,0.24325681738926952,0.0,0.015141092798662315,0.2431745358645756
Technology_and_Telecommunications,Donald_Trump_Reelection,0.0006763566192111148,0.9173995393287391,0.11356479861912694,1.7658315074520254e-21,0.09346547703475962,0.11238602840452472
Technology_and_Telecommunications,Global_Financial_Crisis,0.0006342251312749686,0.8441369782352663,0.2337143420343306,0.0,0.009541023328053195,0.23368448481017445
Technology_and_Telecommunications,Start_of_Russia's_Annexation_of_Ukraine,0.00024086352331113058,0.8947521592624916,0.20957123763328578,6.308788255830409e-283,0.023443581285993463,0.20942736636237813
Transportation_and_Infrastructure,Brexit_Referendum_Day,0.0002535988827096112,1.4252914754413835,0.259454346108685,0.0,0.019320015968467382,0.2594066735418066
Transportation_and_Infrastructure,Covid_19_Pandemic_Lockdown_in_CN,0.00040793619332503596,1.4739354910838451,0.2749333519144659,0.0,0.024965985818603122,0.2748544717308187
Transportation_and_Infrastructure,Donald_Trump_Reelection,0.0010853355573303696,1.0744753705588697,0.11913741701061253,1.71712453968214e-22,0.10661209746887758,0.11796449745936155
Transportation_and_Infrastructure,Global_Financial_Crisis,0.0002701675527433682,1.2438291431392945,0.2654087746729855,0.0,0.012462568972124156,0.26538213008737344
Transportation_and_Infrastructure,Start_of_Russia's_Annexation_of_Ukraine,0.0007947923730078425,1.3126024052277576,0.23237263921385476,0.0,0.03219513137396485,0.23223284184346948
